Name,Artist,Genre,Energy,Valence,Danceability,Mood
Club de fans de John Boy,Love of Lesbian,Indie Espa�ol,0.88,0.4,0.91,energetic
Everlong,Foo Fighters,Rock,0.35,0.56,0.84,happy
Chica de ayer,Nacha Pop,Movida Madrile�a,0.46,0.16,0.42,
Linger,The cranberries,Indie guitar pop,0.76,0.58,0.48,sad
La mujer de verde ,Izal,Indie Espa�ol,0.7,0.51,0.62,energetic
Call me,Blondie,Rock,0.9,0.79,0.32,happy
Zombie,The cranberries,Indie guitar pop,0.22,0.68,0.3,sad
Maneater,Daryl Hall & John Oates,Rock,0.58,0.78,0.67,energetic
One way or another,Blondie,Pop / Mamarracheo,0.49,0.47,0.42,relaxed
Copacabana,Izal,Indie Espa�ol,0.29,0.54,0.98,relaxed
The pretender,Foo Fighters,Rock,0.7,0.76,0.5,energetic
Boys don't cry,The Cure,Rock,0.84,0.33,0.33,energetic
Emborracharme,Lori Meyers,Indie Espa�ol,0.55,0.43,0.89,relaxed
Herat of Glass,Blondie,Pop / Mamarracheo,0.84,0.33,0.74,energetic
Mi realidad,Lori Meyers,Indie Espa�ol,0.68,0.4,0.77,energetic
All� donde sol�amos gritar,Love of Lesbian,Indie Espa�ol,0.79,0.68,0.85,sad
Maria,Blondie,Rock,0.69,0.27,0.26,energetic
Friday I'm in love,The Cure,Rock,0.89,0.24,0.21,energetic
El tiempo pasar�,Lori Meyers,Indie Espa�ol,0.99,0.7,0.29,happy
Bohemian Rhapsody,Queen,Rock,0.22,0.14,0.71,energetic
In the end ,Linkin Park,Rock,0.41,0.33,0.59,sad
Lucha de gigantes,Love of Lesbian,Indie Espa�ol,0.91,0.14,0.3,sad
Dreaming,Blondie,Rock,0.7,0.38,0.67,energetic
Alta fidelidad,Lori Meyers,Indie Espa�ol,0.7,0.22,0.84,energetic
Numb,Linkin Park,Rock,0.31,0.42,0.92,energetic
Atomic,Blondie,Rock,0.69,0.27,0.83,energetic
With or without you,U2,Rock,0.92,0.92,0.38,sad
Mr.Brightside,The Killers,Rock,0.84,0.49,0.43,energetic
Mujer contra mujer,Mecano,Movida Madrile�a,0.72,0.14,0.76,energetic
Don't stop me noiw,Queen,Rock,0.87,0.69,0.69,happy
La hermandad,Love of Lesbian,Indie Espa�ol,0.46,0.86,0.33,relaxed
Somebody told me,The Killers,Rock,0.75,0.81,0.39,happy
Smells like teen spirit,Nirvana,Rock,0.74,0.1,0.94,energetic
Come as you are,Nirvana,Rock,0.7,0.82,0.71,energetic
No hay excusa,Lori Meyers,Indie Espa�ol,0.68,0.27,0.9,energetic
Just like heaven,The Cure,Rock,0.52,0.12,0.49,energetic
Queen Song 43,Queen,Pop / Mamarracheo,0.37,0.83,0.59,relaxed
Cadillac solitario ,Loquillo,Movida Madrile�a,0.59,0.28,0.93,energetic
Peque�a gran revoluci�n,Izal,Indie Espa�ol,0.42,0.1,0.73,sad
My hero ,Foo Fighters,Rock,0.84,0.73,0.77,happy
Scar tissue,Red Hot Chili Peppers,Rock,0.32,0.8,0.79,relaxed
Roxanne,The Police,Rock,0.2,0.42,0.81,relaxed
"Feo, fuerte y formal",Loquillo,Movida Madrile�a,0.76,0.56,0.42,energetic
High and dry,Radiohead,Rock,0.99,0.9,0.68,sad
Somewhere I belong,Linkin Park,Rock,0.39,0.59,0.38,energetic
Hotel California,Eagles,Rock,0.69,0.81,0.53,energetic
Dreams,The cranberries,Indie guitar pop,0.73,0.47,0.26,sad
When you were young,The Killers,Rock,0.84,0.49,0.43,energetic
Every breath you take,The Police,Rock,0.52,0.15,0.47,sad
Ode to my family,The cranberries,Indie guitar pop,0.61,0.29,0.3,sad
Close to me,The Cure,Rock,0.29,0.61,0.55,relaxed
Creep,Radiohead,Rock,0.3,0.9,0.46,sad
I still haven't found what I'm looking for,U2,Rock,0.84,0.98,0.9,happy
What I've done ,Linkin Park,Rock,0.89,0.96,0.59,energetic
Message in a bottle ,The Police,Rock,0.41,0.78,0.7,relaxed
Faint,Linkin Park,Rock,0.93,0.79,0.48,happy
So lonely ,The Police,Rock,0.56,0.3,0.61,energetic
Learn to fly,Foo Fighters,Rock,0.37,0.75,0.45,energetic
Californication,Red Hot Chili Peppers,Rock,0.94,0.3,0.88,energetic
